type,team,enemy,game,order,time,date,won,stage
HEXTECH,PSG,R7,1,3,00:19:42,2023-10-10,True,play-ins
HEXTECH,R7,PSG,1,4,00:26:52,2023-10-10,False,play-ins
CHEMTECH,PSG,R7,1,2,00:12:37,2023-10-10,True,play-ins
CLOUD,R7,PSG,1,1,00:06:56,2023-10-10,True,play-ins
MOUNTAIN,R7,PSG,2,4,00:28:08,2023-10-10,False,play-ins
MOUNTAIN,PSG,R7,2,3,00:22:21,2023-10-10,True,play-ins
INFERNAL,PSG,R7,2,2,00:16:26,2023-10-10,True,play-ins
CLOUD,R7,PSG,2,1,00:10:30,2023-10-10,False,play-ins
INFERNAL,LLL,GAM,1,1,00:07:05,2023-10-10,True,PLAY-INS
HEXTECH,LLL,GAM,1,2,00:12:30,2023-10-10,True,PLAY-INS
OCEAN,LLL,GAM,1,3,00:17:59,2023-10-10,True,PLAY-INS
OCEAN,LLL,GAM,1,4,00:23:33,2023-10-10,True,PLAY-INS
CLOUD,GAM,LLL,2,1,00:06:27,2023-10-10,False,PLAY-INS
MOUNTAIN,LLL,GAM,2,2,00:14:08,2023-10-10,True,PLAY-INS
CHEMTECH,GAM,LLL,2,3,00:19:42,2023-10-10,False,PLAY-INS
CHEMTECH,LLL,GAM,2,4,00:25:04,2023-10-10,True,PLAY-INS
CHEMTECH,LLL,GAM,2,5,00:30:43,2023-10-10,True,PLAY-INS
CHEMTECH,GAM,LLL,2,6,00:35:51,2023-10-10,False,PLAY-INS
CLOUD,CFO,DFM,1,1,00:09:32,2023-10-11,True,PLAY-INS
MOUNTAIN,CFO,DFM,1,2,00:15:18,2023-10-11,True,PLAY-INS
INFERNAL,CFO,DFM,1,3,00:20:32,2023-10-11,True,PLAY-INS
INFERNAL,CFO,DFM,1,4,00:26:03,2023-10-11,True,PLAY-INS
HEXTECH,DFM,CFO,2,1,00:07:37,2023-10-11,False,PLAY-INS
MOUNTAIN,CFO,DFM,2,2,00:13:42,2023-10-11,True,PLAY-INS
OCEAN,CFO,DFM,2,3,00:19:51,2023-10-11,True,PLAY-INS
OCEAN,CFO,DFM,2,4,00:26:39,2023-10-11,True,PLAY-INS
INFERNAL,BDS,TW,1,1,00:08:19,2023-10-11,True,PLAY-INS
CLOUD,BDS,TW,1,2,00:13:55,2023-10-11,True,PLAY-INS
MOUNTAIN,BDS,TW,1,3,00:19:32,2023-10-11,True,PLAY-INS
INFERNAL,BDS,TW,2,1,00:06:33,2023-10-11,False,PLAY-INS
CHEMTECH,BDS,TW,2,2,00:11:53,2023-10-11,False,PLAY-INS
CLOUD,BDS,TW,2,3,00:18:04,2023-10-11,False,PLAY-INS
CLOUD,TW,BDS,2,4,00:23:37,2023-10-11,True,PLAY-INS
CLOUD,TW,BDS,2,5,00:28:46,2023-10-11,True,PLAY-INS
CLOUD,TW,BDS,2,6,00:33:53,2023-10-11,True,PLAY-INS
OCEAN,TW,BDS,3,1,00:12:54,2023-10-11,True,PLAY-INS
MOUNTAIN,BDS,TW,3,2,00:18:51,2023-10-11,False,PLAY-INS
INFERNAL,TW,BDS,3,3,00:24:11,2023-10-11,True,PLAY-INS
INFERNAL,TW,BDS,3,4,00:29:47,2023-10-11,True,PLAY-INS
INFERNAL,TW,BDS,3,5,00:35:04,2023-10-11,True,PLAY-INS
CHEMTECH,PSG,LLL,1,1,00:10:52,2023-10-12,True,PLAY-INS
CLOUD,PSG,LLL,1,2,00:16:30,2023-10-12,True,PLAY-INS
INFERNAL,LLL,PSG,1,3,00:22:16,2023-10-12,False,PLAY-INS
INFERNAL,PSG,LLL,1,4,00:28:48,2023-10-12,True,PLAY-INS
OCEAN,LLL,PSG,2,1,00:06:36,2023-10-12,False,PLAY-INS
CHEMTECH,PSG,LLL,2,2,00:12:57,2023-10-12,True,PLAY-INS
CLOUD,PSG,LLL,2,3,00:18:29,2023-10-12,True,PLAY-INS
CLOUD,PSG,LLL,2,4,00:24:47,2023-10-12,True,PLAY-INS
CLOUD,PSG,LLL,2,5,00:30:42,2023-10-12,True,PLAY-INS
OCEAN,TW,CFO,1,1,00:06:20,2023-10-12,False,PLAY-INS
HEXTECH,CFO,TW,1,2,00:11:37,2023-10-12,True,PLAY-INS
CLOUD,CFO,TW,1,3,00:16:55,2023-10-12,True,PLAY-INS
CLOUD,CFO,TW,1,4,00:22:19,2023-10-12,True,PLAY-INS
CLOUD,CFO,TW,1,5,00:27:33,2023-10-12,True,PLAY-INS
OCEAN,TW,CFO,2,1,00:07:50,2023-10-12,True,PLAY-INS
HEXTECH,TW,CFO,2,2,00:13:30,2023-10-12,True,PLAY-INS
CHEMTECH,TW,CFO,2,3,00:18:50,2023-10-12,True,PLAY-INS
CHEMTECH,TW,CFO,2,4,00:24:25,2023-10-12,True,PLAY-INS
OCEAN,CFO,TW,3,1,00:05:27,2023-10-12,False,PLAY-INS
CLOUD,TW,CFO,3,2,00:10:40,2023-10-12,True,PLAY-INS
MOUNTAIN,CFO,TW,3,3,00:17:23,2023-10-12,False,PLAY-INS
MOUNTAIN,CFO,TW,3,4,00:23:16,2023-10-12,False,PLAY-INS
MOUNTAIN,TW,CFO,3,5,00:28:35,2023-10-12,True,PLAY-INS
INFERNAL,GAM,R7,1,1,00:08:33,2023-10-13,True,PLAY-INS
MOUNTAIN,GAM,R7,1,2,00:14:00,2023-10-13,True,PLAY-INS
HEXTECH,GAM,R7,1,3,00:20:15,2023-10-13,True,PLAY-INS
HEXTECH,GAM,R7,1,4,00:25:26,2023-10-13,False,PLAY-INS
MOUNTAIN,R7,GAM,2,1,00:05:44,2023-10-13,False,PLAY-INS
OCEAN,GAM,R7,2,2,00:11:18,2023-10-13,True,PLAY-INS
INFERNAL,GAM,R7,2,3,00:17:14,2023-10-13,True,PLAY-INS
INFERNAL,GAM,R7,2,4,00:23:52,2023-10-13,True,PLAY-INS
INFERNAL,GAM,R7,2,5,00:29:12,2023-10-13,True,PLAY-INS
INFERNAL,BDS,DFM,1,1,00:08:16,2023-10-13,True,PLAY-INS
HEXTECH,BDS,DFM,1,2,00:13:56,2023-10-13,True,PLAY-INS
MOUNTAIN,BDS,DFM,1,3,00:19:59,2023-10-13,True,PLAY-INS
MOUNTAIN,BDS,DFM,1,4,00:25:22,2023-10-13,True,PLAY-INS
INFERNAL,BDS,DFM,2,1,00:08:16,2023-10-13,True,PLAY-INS
OCEAN,BDS,DFM,2,2,00:16:18,2023-10-13,True,PLAY-INS
CHEMTECH,BDS,DFM,2,3,00:22:23,2023-10-13,True,PLAY-INS
CHEMTECH,LLL,GAM,1,1,00:13:13,2023-10-14,True,PLAY-INS
MOUNTAIN,GAM,LLL,1,2,00:18:33,2023-10-14,True,PLAY-INS
INFERNAL,GAM,LLL,1,3,00:24:19,2023-10-14,True,PLAY-INS
INFERNAL,GAM,LLL,1,4,00:29:41,2023-10-14,True,PLAY-INS
HEXTECH,LLL,GAM,2,1,00:05:35,2023-10-14,False,PLAY-INS
MOUNTAIN,GAM,LLL,2,2,00:11:29,2023-10-14,True,PLAY-INS
CHEMTECH,GAM,LLL,2,3,00:18:53,2023-10-14,True,PLAY-INS
CHEMTECH,LLL,GAM,2,4,00:25:10,2023-10-14,False,PLAY-INS
CHEMTECH,GAM,LLL,2,5,00:30:30,2023-10-14,True,PLAY-INS
CHEMTECH,GAM,LLL,2,6,00:35:37,2023-10-14,True,PLAY-INS
HEXTECH,BDS,CFO,1,1,00:07:00,2023-10-14,True,PLAY-INS
CLOUD,BDS,CFO,1,2,00:12:49,2023-10-14,True,PLAY-INS
MOUNTAIN,BDS,CFO,1,3,00:18:28,2023-10-14,True,PLAY-INS
MOUNTAIN,CFO,BDS,1,4,00:24:08,2023-10-14,False,PLAY-INS
MOUNTAIN,BDS,CFO,1,5,00:29:50,2023-10-14,True,PLAY-INS
CLOUD,CFO,BDS,2,1,00:07:01,2023-10-14,False,PLAY-INS
CHEMTECH,CFO,BDS,2,2,00:12:54,2023-10-14,False,PLAY-INS
OCEAN,CFO,BDS,2,3,00:18:24,2023-10-14,False,PLAY-INS
OCEAN,BDS,CFO,2,4,00:24:08,2023-10-14,True,PLAY-INS
INFERNAL,GAM,TW,1,1,00:10:25,2023-10-15,True,PLAY-INS
HEXTECH,TW,GAM,1,2,00:16:01,2023-10-15,False,PLAY-INS
CHEMTECH,GAM,TW,1,3,00:21:42,2023-10-15,True,PLAY-INS
CLOUD,TW,GAM,2,1,00:06:49,2023-10-15,True,PLAY-INS
HEXTECH,TW,GAM,2,2,00:12:04,2023-10-15,True,PLAY-INS
CHEMTECH,TW,GAM,2,3,00:17:45,2023-10-15,True,PLAY-INS
CHEMTECH,TW,GAM,2,4,00:23:04,2023-10-15,True,PLAY-INS
INFERNAL,GAM,TW,3,1,00:06:14,2023-10-15,True,PLAY-INS
MOUNTAIN,TW,GAM,3,2,00:12:32,2023-10-15,False,PLAY-INS
OCEAN,TW,GAM,3,3,00:18:29,2023-10-15,False,PLAY-INS
OCEAN,TW,GAM,3,4,00:24:27,2023-10-15,False,PLAY-INS
OCEAN,GAM,TW,3,5,00:29:55,2023-10-15,True,PLAY-INS
CLOUD,GAM,TW,4,1,00:10:29,2023-10-15,True,PLAY-INS
HEXTECH,TW,GAM,4,2,00:16:15,2023-10-15,False,PLAY-INS
INFERNAL,TW,GAM,4,3,00:23:04,2023-10-15,False,PLAY-INS
MOUNTAIN,BDS,PSG,1,1,00:07:18,2023-10-15,False,PLAY-INS
CLOUD,PSG,BDS,1,2,00:12:47,2023-10-15,True,PLAY-INS
OCEAN,PSG,BDS,1,3,00:18:16,2023-10-15,True,PLAY-INS
OCEAN,PSG,BDS,1,4,00:23:42,2023-10-15,True,PLAY-INS
OCEAN,PSG,BDS,1,5,00:29:17,2023-10-15,True,PLAY-INS
HEXTECH,PSG,BDS,2,1,00:06:58,2023-10-15,True,PLAY-INS
CHEMTECH,PSG,BDS,2,2,00:14:10,2023-10-15,True,PLAY-INS
INFERNAL,PSG,BDS,2,3,00:20:02,2023-10-15,True,PLAY-INS
INFERNAL,PSG,BDS,2,4,00:26:20,2023-10-15,True,PLAY-INS
OCEAN,PSG,BDS,3,1,00:07:59,2023-10-15,False,PLAY-INS
CHEMTECH,PSG,BDS,3,2,00:13:49,2023-10-15,False,PLAY-INS
HEXTECH,BDS,PSG,3,3,00:18:57,2023-10-15,True,PLAY-INS
HEXTECH,BDS,PSG,3,4,00:24:20,2023-10-15,True,PLAY-INS
HEXTECH,BDS,PSG,3,5,00:29:56,2023-10-15,True,PLAY-INS
HEXTECH,BDS,PSG,3,6,00:35:47,2023-10-15,True,PLAY-INS
MOUNTAIN,BDS,PSG,4,1,00:06:43,2023-10-15,True,PLAY-INS
OCEAN,BDS,PSG,4,2,00:13:00,2023-10-15,True,PLAY-INS
CHEMTECH,BDS,PSG,4,3,00:18:28,2023-10-15,True,PLAY-INS
CHEMTECH,BDS,PSG,4,4,00:24:50,2023-10-15,True,PLAY-INS
MOUNTAIN,BDS,PSG,5,1,00:06:46,2023-10-15,True,PLAY-INS
INFERNAL,PSG,BDS,5,2,00:12:42,2023-10-15,False,PLAY-INS
CLOUD,BDS,PSG,5,3,00:18:05,2023-10-15,True,PLAY-INS
CLOUD,PSG,BDS,5,4,00:24:40,2023-10-15,False,PLAY-INS
CLOUD,BDS,PSG,5,5,00:31:02,2023-10-15,True,PLAY-INS
CLOUD,PSG,BDS,5,6,00:36:12,2023-10-15,False,PLAY-INS
CLOUD,BDS,PSG,5,7,00:41:23,2023-10-15,True,PLAY-INS
MOUNTAIN,T1,TL,1,1,00:14:02,2023-10-19,True,SWISS
INFERNAL,TL,T1,1,2,00:19:17,2023-10-19,False,SWISS
CLOUD,T1,TL,1,3,00:25:20,2023-10-19,True,SWISS
CLOUD,TL,T1,1,4,00:31:38,2023-10-19,False,SWISS
CHEMTECH,C9,MAD,1,1,00:11:42,2023-10-19,True,SWISS
HEXTECH,C9,MAD,1,2,00:17:17,2023-10-19,True,SWISS
INFERNAL,MAD,C9,1,3,00:23:05,2023-10-19,False,SWISS
INFERNAL,C9,MAD,1,4,00:28:20,2023-10-19,True,SWISS
INFERNAL,GEN,GAM,1,1,00:10:17,2023-10-19,True,SWISS
HEXTECH,GEN,GAM,1,2,00:16:14,2023-10-19,True,SWISS
INFERNAL,BDS,JDG,1,1,00:05:49,2023-10-19,False,SWISS
OCEAN,JDG,BDS,1,2,00:11:23,2023-10-19,True,SWISS
MOUNTAIN,JDG,BDS,1,3,00:17:09,2023-10-19,True,SWISS
MOUNTAIN,JDG,BDS,1,4,00:22:32,2023-10-19,True,SWISS
HEXTECH,G2,DK,1,1,00:06:49,2023-10-19,True,SWISS
CHEMTECH,DK,G2,1,2,00:13:25,2023-10-19,False,SWISS
OCEAN,G2,DK,1,3,00:18:53,2023-10-19,True,SWISS
OCEAN,G2,DK,1,4,00:24:40,2023-10-19,True,SWISS
OCEAN,G2,PSG,1,5,00:30:32,2023-10-19,True,SWISS
OCEAN,NRG,WBG,1,1,00:07:35,2023-10-19,False,SWISS
HEXTECH,WBG,NRG,1,2,00:13:08,2023-10-19,True,SWISS
MOUNTAIN,WBG,NRG,1,3,00:18:38,2023-10-19,True,SWISS
MOUNTAIN,WBG,NRG,1,4,00:23:54,2023-10-19,True,SWISS
HEXTECH,FNC,LNG,1,1,00:09:20,2023-10-19,False,SWISS
INFERNAL,LNG,FNC,1,2,00:14:45,2023-10-19,True,SWISS
MOUNTAIN,FNC,LNG,1,3,00:20:04,2023-10-19,False,SWISS
MOUNTAIN,LNG,FNC,1,4,00:25:18,2023-10-19,True,SWISS
MOUNTAIN,KT,BLG,1,1,00:11:34,2023-10-19,False,SWISS
OCEAN,BLG,KT,1,2,00:17:12,2023-10-19,True,SWISS
HEXTECH,BLG,KT,1,3,00:22:50,2023-10-19,True,SWISS
HEXTECH,BLG,KT,1,4,00:28:37,2023-10-19,True,SWISS
HEXTECH,KT,BLG,1,5,00:33:54,2023-10-19,False,SWISS
HEXTECH,BLG,KT,1,6,00:39:57,2023-10-19,True,SWISS
HEXTECH,TL,NRG,1,1,00:09:51,2023-10-20,False,SWISS
CLOUD,NRG,TL,1,2,00:18:14,2023-10-20,True,SWISS
OCEAN,TL,NRG,1,3,00:23:56,2023-10-20,False,SWISS
OCEAN,NRG,TL,1,4,00:29:16,2023-10-20,True,SWISS
OCEAN,LNG,C9,1,1,00:07:06,2023-10-20,True,SWISS
CHEMTECH,LNG,C9,1,2,00:13:00,2023-10-20,True,SWISS
INFERNAL,C9,LNG,1,3,00:18:19,2023-10-20,False,SWISS
INFERNAL,LNG,C9,1,4,00:23:36,2023-10-20,True,SWISS
INFERNAL,LNG,C9,1,5,00:29:37,2023-10-20,True,SWISS
INFERNAL,MAD,BDS,1,1,00:07:04,2023-10-20,True,SWISS
OCEAN,BDS,MAD,1,2,00:14:56,2023-10-20,False,SWISS
HEXTECH,MAD,BDS,1,3,00:20:18,2023-10-20,True,SWISS
HEXTECH,MAD,BDS,1,4,00:25:43,2023-10-20,True,SWISS
HEXTECH,MAD,BDS,1,5,00:30:59,2023-10-20,True,SWISS
MOUNTAIN,GAM,FNC,1,1,00:06:35,2023-10-20,False,SWISS
CHEMTECH,FNC,GAM,1,2,00:12:17,2023-10-20,True,SWISS
INFERNAL,FNC,GAM,1,3,00:18:16,2023-10-20,True,SWISS
HEXTECH,GEN,T1,1,1,00:06:58,2023-10-20,True,SWISS
MOUNTAIN,GEN,T1,1,2,00:12:43,2023-10-20,True,SWISS
CLOUD,T1,GEN,1,3,00:18:02,2023-10-20,False,SWISS
CLOUD,GEN,T1,1,4,00:23:33,2023-10-20,True,SWISS
CLOUD,GEN,T1,1,5,00:28:41,2023-10-20,True,SWISS
CLOUD,WBG,G2,1,1,00:07:07,2023-10-20,False,SWISS
CHEMTECH,WBG,G2,1,2,00:12:25,2023-10-20,False,SWISS
MOUNTAIN,WBG,G2,1,3,00:17:51,2023-10-20,False,SWISS
MOUNTAIN,WBG,G2,1,4,00:23:55,2023-10-20,False,SWISS
CHEMTECH,JDG,BLG,1,1,00:05:44,2023-10-20,True,SWISS
INFERNAL,JDG,BLG,1,2,00:11:18,2023-10-20,True,SWISS
HEXTECH,JDG,BLG,1,3,00:16:35,2023-10-20,True,SWISS
HEXTECH,JDG,BLG,1,4,00:22:44,2023-10-20,True,SWISS
OCEAN,DK,KT,1,1,00:08:22,2023-10-20,False,SWISS
CHEMTECH,DK,KT,1,2,00:14:30,2023-10-20,False,SWISS
MOUNTAIN,DK,KT,1,3,00:20:22,2023-10-20,False,SWISS
MOUNTAIN,KT,DK,1,4,00:26:13,2023-10-20,True,SWISS
MOUNTAIN,LNG,JDG,1,1,00:07:28,2023-10-21,False,SWISS
CLOUD,LNG,JDG,1,2,00:13:17,2023-10-21,False,SWISS
CHEMTECH,LNG,JDG,1,3,00:19:23,2023-10-21,False,SWISS
CHEMTECH,JDG,LNG,1,4,00:25:22,2023-10-21,True,SWISS
OCEAN,LNG,JDG,2,1,00:07:37,2023-10-21,True,SWISS
MOUNTAIN,LNG,JDG,2,2,00:13:45,2023-10-21,True,SWISS
CHEMTECH,LNG,JDG,2,3,00:19:37,2023-10-21,True,SWISS
CHEMTECH,JDG,LNG,2,4,00:25:04,2023-10-21,False,SWISS
INFERNAL,JDG,LNG,3,1,00:06:01,2023-10-21,True,SWISS
OCEAN,LNG,JDG,3,2,00:12:55,2023-10-21,False,SWISS
HEXTECH,JDG,LNG,3,3,00:19:02,2023-10-21,True,SWISS
MOUNTAIN,G2,GEN,1,1,00:06:41,2023-10-21,False,SWISS
OCEAN,GEN,G2,1,2,00:12:56,2023-10-21,True,SWISS
HEXTECH,GEN,G2,1,3,00:18:19,2023-10-21,True,SWISS
HEXTECH,G2,GEN,1,4,00:23:48,2023-10-21,False,SWISS
HEXTECH,GEN,G2,1,5,00:29:20,2023-10-21,True,SWISS
CLOUD,GEN,G2,2,1,00:11:22,2023-10-21,True,SWISS
OCEAN,G2,GEN,2,2,00:16:44,2023-10-21,False,SWISS
INFERNAL,GEN,G2,2,3,00:22:08,2023-10-21,True,SWISS
INFERNAL,GEN,G2,2,4,00:27:16,2023-10-21,True,SWISS
MOUNTAIN,T1,C9,1,1,00:06:42,2023-10-22,True,SWISS
HEXTECH,T1,C9,1,2,00:12:07,2023-10-22,True,SWISS
CHEMTECH,T1,C9,1,3,00:17:33,2023-10-22,True,SWISS
INFERNAL,NRG,MAD,1,1,00:06:30,2023-10-22,True,SWISS
HEXTECH,NRG,MAD,1,2,00:12:22,2023-10-22,True,SWISS
MOUNTAIN,NRG,MAD,1,3,00:18:28,2023-10-22,True,SWISS
